Spalte1,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC10239920,AC10239920,990034045030603338,http://data.onb.ac.at/ABO/%2BZ258328300,Z258328300,,,Auswahl neuer und interessanter Reisebeschreibungen durch die vorzüglichsten Länder Europas ; Zweyter Band,Neue Reise durch Spanien und Portugal $ Frey nach dem Französischen bearbeitet,,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,Jm Verlage bey Anton Doll,"Doll, Anton ; http://d-nb.info/gnd/13282261X",,1804,1804,"VI Seiten, Seite 8 - 255, 1 ungezähltes Blatt Bildtafel, 1 ungezähltes gefaltetes Blatt Karte","1 Illustration, 1 Karte",1,1,8°,"1 Kupferstich-Illustration als Frontispiz (gestochen von J. Blaschke), 1 Kupferstich-Karte",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,,,,,,,,,"Blaschke, János ; http://d-nb.info/gnd/116200170",,,Reisebericht,,,Portugal ; Reise ; Spanien ; Geschichte 1803 circa,TravelogueD19 Europa,,294111-A.2 MAG .- 294111-A MAG,ZKAR ; ZKAR,
AC03115089,AC03115089,990004457170603338,,,"Weld, Isaac ; http://d-nb.info/gnd/133328910",Travels through the states of North America,Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Vierter Band,"<<Jsaac Weld's>> Reisen durch die Staaten von Nordamerika, und die Provinzen Ober= und Unter=Canada $ während den Jahren 1795, 1796 und 1797",,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1801,1801,"4 ungezählte Seiten, 475 Seiten, 2 ungezählte Blätter Bildtafeln, 2 ungezählte gefaltete Blätter Karten","2 Illustrationen, 2 Karten",2,2,8°,"Die Illustrationen sind 2 Kupferstich-Illustrationen (gestochen und signiert von A. Berka, Wien) und 2 Kupferstich-Karten. - Einfache Zierleisten ; Fußnoten",Bibliografischer Nachweis: Sabin 102536 ; Bibliografie Reiseliteratur Eutin. - Gemäß BRE Verlagsort Wien,,,ger,eng,Aus dem Englischen übersetzt,,,,,,,"Berka, Anton ; http://d-nb.info/gnd/1035513676",,,Reisebericht,,,USA ; Reisebericht ; Geschichte 1795-1797 ; Kanada ; Reisebericht ; Geschichte 1795-1797,TravelogueD19 Nordamerika,,303778-B.4 MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC09912323,AC09912323,990030699430603338,http://data.onb.ac.at/ABO/%2BZ166826608,Z166826608,"Grasset de Saint-Sauveur, André ; http://d-nb.info/gnd/116823496","Voyage dans les îles Baléares et Pithiuses fait dans les années 1801, 1802, 1803, 1804 et 1805",Auswahl neuer und interessanter Reisebeschreibungen durch die vorzüglichsten Länder Europas ; Vierter Band,"Reise durch die Balearischen und Pithiusischen Jnseln $ Von Andre Grasset Saint-Sauveur dem Jüngeren, kaiserlich=französischem Kommerzialkommissär und Konsul auf den Balearen. Aus dem Französischen übersetzt",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,Jm Verlage bey Anton Doll,"Doll, Anton ; http://d-nb.info/gnd/13282261X",,1808,1808,"2 ungezählte Seiten, 240 Seiten, 1 ungezählte Blatt Bildtafel, 1 ungezähltes gefaltetes Blatt Karte","1 Illustration, 1 Karte",1,1,8°,"1 Kupferstichillustration als Frontispiz (gestochen und signiert von János Balschke), 1 gestochene Karte. - Zierleisten im Text ; Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 305",Seite [V]-VI: Vorerinnerung des Übersetzers,,ger,fre,Aus dem Französischen übersetzt,,,,,,,"Blaschke, János ; http://d-nb.info/gnd/116200170",,,Reisebericht,,,Balearen ; Reise ; Geschichte 1801-1805 ; Pityusen,TravelogueD19 Europa,,63.L.32 PRUNK .- 294111-A MAG,ZALT ; ZKAR,
AC07646138,AC07646138,990043132750603338,http://data.onb.ac.at/ABO/%2BZ174670605,Z174670605,"Turner, Samuel ; http://d-nb.info/gnd/100478395",<<An>> account of an embassy to the court of the Teshoo Lama in Tibet,Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Siebenter Band,"<<Samuel Turners, Capitains in Diensten der ostind. Compagnie,>> Gesandtschaftsreise an den Hof des Teshoo Lama durch Bootan und einen Theil von Tibet $ Aus dem Englischen übersetzt ; mit 1 Karte und 4 Kupfern",,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1801,1801,"2 ungezählte Seiten, 391 Seiten, 4 ungezählte Blätter Bildtafeln, 1 ungezähltes gefaltetes Blatt Karte","4 Illustrationen, 1 Karte",4,1,8°,"Die Illustrationen sind 4 Kupferstich-Illustrationen (teilweise gestochen von J. Antropp), 1 Kupferstich-Karte (""Uibersicht des Weges von Buxadewar nach Tassisudon in Bootan und von Tassisudon nach Teshoo Loombou in Tibet"")",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Gemäß BRE Erscheinungsort Wien,,,ger,eng,Aus dem Englischen übersetzt,,,,,,,"Antropp, Joseph ; http://d-nb.info/gnd/1043006214",,,Reisebericht,,,Bhutan ; Reise ; Tibet ; Gesandtschaft ; East India Company ; Geschichte 1783,TravelogueD19 Asien,,273364-B MAG,ZFID,
AC09965180,AC09965180,990031239620603338,,,"Holcroft, Thomas ; http://d-nb.info/gnd/118774751","Travels from Hamburg, through Westphalia, Holland, and the Netherlands, to Paris ; 1804",Magazin von merkwürdigen neuen Reisebeschreibungen ; Acht und zwanzigster Band = Neues Magazin von merkwürdigen Reisebeschreibungen ; Vierter Band,"Reise nach Paris $ Von Th. Holcroft. Aus dem Englischen übersetzt von J. A. Bergk, Doctor der Philosophie in Leipzig",,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,,Vossische Buchhandlung ; (DE-588)64386-5,,1806,1806,"6 ungezählte Seiten, 521 Seiten, II gefaltete Blätter Bildtafeln",2 Illustrationen,2,,8°,"Die Illustrationen sind 2 Kupferstichillustrationen (gestochen von Meno Haas, Berlin 1805). - Zierleisten ; Fußnoten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,eng,Aus dem Englischen übersetzt,,,,"Bergk, Johann Adam ; http://d-nb.info/gnd/116132655",,,"Haas, Meno ; http://d-nb.info/gnd/122996399",,,Reisebericht,,,Paris ; Reise ; Geschichte 1806 ; Deutschland ; Holland,TravelogueD19 Europa,,393869-B.28 MAG,ZKAR,
AC06481705,AC06481705,990045759970603338,http://data.onb.ac.at/ABO/%2BZ173024402,Z173024402,"Dallaway, James ; http://d-nb.info/gnd/127696970","Constantinople ancient and modern, with excursions to the shores and islands of the Archipelago, and to the Troad",Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Achter Band,"<<James Dallaway's>> Reise nach Constantinopel, der Ebene von Troja, und in die Levante $ Aus dem Englischen übersetzt. Mit 1 Karte und 4 Kupfern",,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1801,1801,"2 ungezählte Seiten, 332 Seiten, 1 ungezähltes gefaltetes Blatt Karte, 4 ungezählte Blätter Bildtafeln","4 Illustrationen, 1 Karte",4,1,8°,"Die Illustrationen sind 4 Kupferstich-Illustrationen (gestochen von Joseph Gerstner), 1 Kupferstich-Karte. - Fußnoten","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0272 ; Bibliografie Reiseliteratur Eutin. - Gemäß BRE Verlagsort Wien",Seite i-iv: Vorrede des Übersetzers (Anonym),,ger,eng,Aus dem Englischen übersetzt,,,,,,,"Gerstner, Joseph ; http://d-nb.info/gnd/129767727",,,Reisebericht,,,Reise ; Konstantinopel ; Anatolien ; Geschichte 1794/1795 ; Osmanisches Reich,TravelogueD19 Asien Europa ; TravelogueD19 Orient,,278433-B MAG,ZFID,
AC03115122,AC03115122,990004457190603338,,,"Barrow, John ; http://d-nb.info/gnd/117583065",Travels into the interior of Southern Africa,Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Neunter Band,"<<John Barrow's, ehemaligen Sekretär des Grafen von Macartney und Oberrechungsrathes auf dem Vorgebirge der guten Hoffnung,>> Reisen in das Jnnere von Südafrika $ in den Jahren 1797 und 1798. Aus dem Englischen mit Anmerkungen übersetzt. Mit 2 Kupfern und 1 Karte",,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1802,1802,"4 ungezählte Seiten, 447 Seiten, 1 ungezählte Seite 2 ungezählte Blätter Bildtafeln, 1 ungezähltes gefaltetes Blatt Karte","2 Illustrationen, 1 Karte",2,1,8°,Die Illustrationen sind 2 Kupferstich-Illustrationen (gestochen von Gerstner) und 1 Kupferstich-Karte. - Einfache Zierleisten ; Fußnoten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Gemäß BRE Verlagsort Wien,,,ger,eng,Aus dem Englischen übersetzt,,,,,,,"Gerstner, Joseph ; http://d-nb.info/gnd/129767727",,,,,,Südafrika ; Reisebericht ; Geschichte 1797-1798,TravelogueD19 Afrika,,303778-B.9 MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC06276704,AC06276704,990036967550603338,http://data.onb.ac.at/ABO/%2BZ69864507,Z69864507,"Boyd, Hugh ; http://d-nb.info/gnd/100985270","<<A>> Journal of an Embassy from the Government of Madras, to the King of Candy, in Ceylon, in the year 1782",Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Zehnter Band,Hugh Boyd's Gesandtschaftsreise nach Ceylon $ Mit historisch=statistischen Nachrichten von dieser Jnsel und dem Leben des Verfassers $ herausgegeben von Lawrence Dundas Campbell. Aus dem Englischen. Mit 2 Kupfern und 1 Karte,,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1802,1802,"3 ungezählte Seiten, 435 Seiten, 2 ungezählte Blätter Bildtafeln, 2 ungezählte gefaltete Blätter Karten","2 Illustrationen, 2 Karten",2,2,8°,"Die Illustrationen umfassen 2 Kupferstichillustrationen, 2 Kupferstich-Karten. - Zierleisten im Text",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Gemäß BRE Erscheinungsort Wien,"Seite [3]-[4]: Vorerinnerung des Herausgebers, Übersetzers, Datum 1801",,ger,eng ; fre,Enthält aus dem Englischen und Französischen übersetzte Expressionen,,"Charpentier de Cossigny, Joseph François ; http://d-nb.info/gnd/100078095","Campbell, Lawrence D. ; http://d-nb.info/gnd/101014252",,,,,,,Reisebericht,Reise nach China und Bengalen,"Charpentier de Cossigny, Joseph François ; Voyage à Canton .- Charpentier de Cossigny, Joseph François ; Voyage au Bengale","Sri Lanka ; Landeskunde ; China ; Reise ; Boyd, Hugh ; Geschichte 1782 ; Bengalen ; Reise ; Geschichte 1789 ; Geschichte 1766-1767 circa",TravelogueD19 Asien,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzungen),303778-B.10 MAG,ZKAR,
AC10292778,AC10292778,990034584340603338,http://data.onb.ac.at/ABO/%2BZ254847400,Z254847400,"Schmidt, Johann Wilhelm",,Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Eilfter Band,Reise durch einige schwedische Provinzen bis zu den südlichen Wohnplätzen der nomadischen Lappen $ von Joh. Wilh. Schmidt. Mit 4 Kupfern und 1 Karte. Paul Sumarokoff's Reise durch die Krimm und Bessarabien im Jahre 1799,,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1802,1802,"378 Seiten, 2 ungezählte Seiten, 2 ungezählte gefaltetete Blätter Bildtafeln, 2 ungezählte gefaltete Blätter Karten","2 Illustrationen, 2 Karten",2,2,8°,"Die Illustrationen sind 2 Kupferstich-Illustrationen, 2 Kupferstich-Karten. - Zierleisten im Text","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 912. - Verlagsort gemäß BRE Wien","Seite [3]-8: Vorrede. - Schmidts Reisebericht endet auf S. 290, danach folgt mit weitergehender Zählung Paul Sumarokovs Reise durch die Krimm und Bessarabien. - Seite 293-294: Vorrede des Übersetzers, Datum 1801",,ger,rus,Enthält aus dem Russischen übersetzt Expression,,"Sumarokov, Pavel Ivanovič ; http://d-nb.info/gnd/100852335",,"Richter, Joh.",,,,,,Reisebericht,,"Sumarokov, Pavel Ivanovic ; Putesestvie po vsemu Krymu i Bessarabii v 1799 godu",Lappland ; Reise ; Geschichte 1799 ; Schweden ; Krim ; Reise ; Geschichte 1799 ; Bessarabien ; Samen ; Forschungsreise ; Samen ; Reise,TravelogueD19 Europa ; TravelogueD19 Orient,,681059-B.11 MAG,ZKAR,
AC04833199,AC04833199,990008438780603338,http://data.onb.ac.at/ABO/%2BZ43139608,Z43139608,"Grandpré, Louis <<de>> ; http://d-nb.info/gnd/11755345X","Voyage dans l'Indie et au Bengale, fait dans les années 1789 et 1790",Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Fünfzehnter Band .- Archiv der neuesten und interessantesten Reisebeschreibungen ; Dritter Band,"Reise nach Jndien und Arabien in den Jahren 1789 und 1790 $ unternommen von B. Degrandpré, Französischem Marine=Offizier. Aus dem Französischen übersetzt. Mit 2 Kupfern und 1 Karte",,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1803,1803,"8 ungezählte Seiten, 326 Seiten, 2 ungezählte Seiten, 1 mehrfach gefaltetes Blatt Karte, 2 ungezählte Blätter Bildtafeln","2 Illustrationen, 1 Karte",2,1,8°,"2 Kupferstich-llustrationen, 1 Kufperstich-Karte. - Einfache Zierleisten ; Fußnoten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Verlagsort gemäß BRE Wien,Am Ende 2 ungezählte Seiten Verlagsprogramm,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,Reisebericht,,,Indien ; Reise ; Arabien ; Geschichte 1789-1790,TravelogueD19 Orient ; TravelogueD19 Asien,,303778-B.15 MAG .- UNASSIGNED .- UNASSIGNED,ZKAR ; ZKAR ; ZKAR,
