Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Illustrationen not dig,Foldouts,Foldouts not dig,Karten not dig,Kommentar,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC01235989,990003444360603338,http://data.onb.ac.at/ABO/%2BZ205606003,Z205606003,,,,Außführliche Beschreibung Deß Türckischen Groß=Bottschaffters Ibrahim Bassa &c. Prächtig gehaltenen Einzugs $ Jn die Kayserliche Haubt= vnd Residentz=Statt Wienn ; So geschehen/ den 30. Januarij/ Anno 1700,,,Wienn in Oesterreich,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Bey Susanna Christina Cosmerovin/ Kayserl. Hoff=Buchtruckerin,"Cosmerovius, Susanna Christina ; http://d-nb.info/gnd/133101460","Cosmerovius, Susanna Christina ; http://d-nb.info/gnd/133101460",1700,1700,6 ungezählte Blätter,,,,0,0,0,0,0,8 ̊,Kein illustrierender Inhalt. - Holzschnitt-Zierleisten und Initialen im Text ; Holzschnitt-Vignette am Ende,"Bibliografischer Nachweis: Gugitz I, 1636; Mayer II, 9",,,ger,,,,,,,,,,,,,,,Ibrāhīm Paša ; Wien ; Einzug ; Geschichte 1700 ; Quelle,TravelogueD17 Europa,,303026-B.Adl.2 MAG,ZALT,
AC09730828,990028841700603338,http://data.onb.ac.at/ABO/%2BZ180627808,Z180627808,"Concedepanem, J. F. B.",,,"Orientalischer Pottschafter Oder Auff Fried; mit Freund von Auffgang kommender Mercurius, Beym Einzug in die Käyserl. Residentz=Stadt Wienn der/ von der Hohen Porten An den Allerdurchleuchtigsten/ Großmächtigsten/ und unüberwündlichsten Fürsten und Herrn Herrn Leopold Den Ersten Den Höchsten Erwöhlten Römischen Käyser/ zu allen Zeiten Mehrern deß Reichs/ in Germanien/ zu Hungarn/ Böheimb/ Dalmatien/ Croatien/ und Sclavonien König/ etc. Ertz=Hertzog zu Oesterreich/ Hertzogen in Burgundien/ Stayr/ Kärnten/ Crayn und Würtenberg/ Graffen zu Habspurg und Tyroll/ etc. Abgesandten Pottschafft/ Durch einen den Auffgang seiner untergangenen Fortun suchenden sonst schon bekanten J. F. B. Con Ce De paneM Reimweiß außführlich entworffen. Jm Jahr Der MäChtgen PottsChafft Da LeopoLD PottsChafft senDet naCher RoM naCh der Porten",,,Gedruckt zu Wienn,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,bey Johann Georg Schlegel,"Schlegel, Johann Georg ; http://d-nb.info/gnd/103752649X","Schlegel, Johann Georg ; http://d-nb.info/gnd/103752649X",[1700],1700,4 ungezählte Blätter,,,,0,0,0,0,0,2°,"Kein illustrierender Inhalt. - Holzschnitt-Vignetten, Zierleisten und Initialen",Bibliografischer Nachweis: . - Erscheinungsjahr nach einem Chronogramm,Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Gedruckt zu Wienn bey Johann Georg Schlegel/ Academischen Buchdruckern.,"Signaturformel: A2, B2",ger ; lat,,,,,,,,,,,,,,,Gesandtschaft ; Türkisch ; Wien ; Geschichte 1700 circa ; Osmanisches Reich ; Gesandtschaft ; Wien ; Geschichte um 1700 ; Lyrik,TravelogueD18 Orient ; TravelogueD18 Europa,,47.Mm.14 PRUNK,ZALT,
AC10183392,990033467040603338,http://data.onb.ac.at/ABO/%2BZ205002808,Z205002808,"Pastorius, Franz Daniel ; http://d-nb.info/gnd/12019323X",,,"Umständige Geographische Beschreibung Der zu allerletzt erfundenen Previntz Pensylvaniæ, $ Jn denen End=Gräntzen Americæ Jn der West=Welt gelegen/ Durch Franciscum Danielem Pastorum, J. V. Lic. und Friedens=Richtern daselbsten. Worbey angehenckt sind einige notable Begebenheiten / und Bericht=Schreiben an dessen Herrn Vattern Melchiorem Adamum Pastorium, Und andere gute Freunde",,,Franckfurt und Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7 .- Frankfurt am Main ; http://d-nb.info/gnd/4018118-2,,Zu finden bey Andreas Otto,"Otto, Andreas ; http://d-nb.info/gnd/12907120X",,1700,1700,"12 ungezählte Seiten, 140 Seiten",,,,0,0,0,0,0,8°,Kein illustrierender Inhalt. - Holzschnitt-Vignetten ; Initialen,"Bibliografischer Nachweis: VD17 ; Dünnhaupt, S. 3079 ; Bibliografie Reiseliteratur Eutin ; Sabin 59028",Ungezählte Seite 3-4: Vorrede an den Leser. - Ungezählte Seite 5-12: Vorrede,,ger,,,VD17 3:315835Q,,"Pastorius, Melchior Adam ; http://d-nb.info/gnd/11893743X",,"Penn, William ; http://d-nb.info/gnd/123188695","Penn, William ; http://d-nb.info/gnd/123188695",,,,,,,Pennsylvania ; Geografie ; Reise ; Nordamerika ; Geschichte 1683,TravelogueD18 Nordamerika,,BE.6.Z.66* PRUNK,ZALT,VD17 3:315835Q
AC10472192,990036415690603338,http://data.onb.ac.at/ABO/%2BZ166855001,Z166855001,"Niggl, Simpert ; http://d-nb.info/gnd/119552566",,,"Diarium, Oder: Außführliche curiose Reiß=Beschreibung/ Von Wien nach Constantinopel und von dar wider zuruck in Teutschland/ $ auch was sich hin= und wider merckwürdiges dabey zugetragen. Deß Hochgebohrnen Grafen und Herrn/ Herrn Wolffgang, Grafens zu Oettingen etc. der Röm. Kayserl. Majest. etc. Geheimen Rath/ Cammerern/ und Reichs=Hof=Raths Praesidenten, &c. Welche Seine Hoch=Gräfl. Excell. Als Jhro Röm. Kayserl. Majest. Groß=Bottschaffter den 20. Octob. An 1699. angetretten/ und An. 1701. den 29. Jan. glücklichen vollendet $ Beschriben/ von Simperto, deß löbl. Gotts=Haußt Neresheim/ Ord. S. Benedicti, Abbten/ als Jhro Excell. deß Herrn Groß=BOttschaffters bey erst=ermelt=vorgewester Gesandtschafft Praelato Domestico, &c.",,,Augspurg,Augsburg ; http://d-nb.info/gnd/4003614-5,Augsburg ; http://d-nb.info/gnd/4003614-5,bey Georg Schlüter/ Buchh.,"Schlüter, Georg Christoph ; http://d-nb.info/gnd/103750478X","Schlüter, Georg Christoph ; http://d-nb.info/gnd/103750478X",A. 1701,1701,"14 ungezählte Seiten, 159 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,0,0,0,0,0,8°,Die Illustration ist 1 Kupferstich-Porträt des Grafen Wolfgang von Oettingen als Frontispiz. - Initialen ; Zierleisten im Text,"Bibliografischer Nachweis: Ziegelbauer: Historia rei litterariae ordinis S.Benedicti. Pars III, pag. 628 ; Chatzipanagioti-Sangmeister, 1037 ; Bibliografie Reiseliteratur Eutin ; Stuck I, 1333","Ungezählte Seite 3-13: Widmungsvorrede des Verfassers an Wolfgang von Oettingen, Datum Neresheim 01.06.1701. - Ungezählte Seite 14: Vorrede an den Leser",,ger,,,,,,,,,,"Niggl, Simpert ; http://d-nb.info/gnd/119552566",Wolfgang ; http://d-nb.info/gnd/104196858,Reisebericht,,,Gesandtschaft ; Geschichte 1699-1701 ; Konstantinopel ; Wolfgang ; Osmanisches Reich,TravelogueD18 Europa Asien ; TravelogueD18 Orient,,56842-A MAG,ZALT,
AC01236536,990002954200603338,http://data.onb.ac.at/ABO/%2BZ205606404,Z205606404,,,,Kurtze Beschreibung/ Jhrer Römisch-Königlichen Majestäten Glückliche Reiß Jn das Feld/ Und/ Gott Lob/ wider Glorreiche Zuruckkunfft Nacher Wienn,,,[Ohne Ort],,,,,,[1702],1702,5 ungezählte Seiten,,,,0,0,0,0,0,4°,Holzschnitt-Vignetten im Text,Bibliografischer Nachweis:,Signaturformel: A4,,ger,,,,,,,,,,,,,,,Joseph ; Reise ; Geschichte 1702 ; Quelle ; Wilhelmine Amalie ; Reise ; Geschichte 1702 ; Quelle,TravelogueD18 Europa,,303026-B.Adl.6 MAG,ZALT,
AC09734034,990028874410603338,http://data.onb.ac.at/ABO/%2BZ15671790X,Z15671790X,"Brand, Johann Arnold <<von>> ; http://d-nb.info/gnd/104069953",,,"<<Johan=Arnholds von Brand/ weyland J. U. D. und in der Universität zu Duißburg am Rhein Professoris Ordinarii,>> Reysen/ durch die Marck Brandenburg/ Preussen/ Churland/ Liefland/ Pleßcovien/ Groß=Neugardten/ Tweerien und Moscovien: $ in welchen vieles nachdencklich wegen gemeldter Länder/ wie auch der Litthauwer/ Lebens=art/ Gottesdienst/ allerhand Ceremonien/ Kleydung/ Regierung/ Rechtspflegung/ und dergleichen/ angemercket: anbey Eine Seltsame und sehr Anmerckliche Beschreibung von Siberien $ Alle nachgesehen; und mit nöthigen Ubersetzungen/ Anmerckungen und Kupfferstücken gezieret und vermehret; auch mit der über des Hn. Urhebers seeligen Abschied gehaltenen Leich=reden heraußt gegeben Durch Henrich=Christian von Hennin/ der Artzeneyen Doctor/ und selbiger/ wie auch der Geschichten/ Griech= und Lateinischen Wohlredenheit in obgemeldter Köiglichen Universität Prof. Publ.",,,Wesel,Wesel ; http://d-nb.info/gnd/4065697-4 .- Duisburg ; http://d-nb.info/gnd/4013284-5,Duisburg ; http://d-nb.info/gnd/4013284-5,Jn verlag  Jacobs von Wesel  Buchhändlers daselbst ; Druckts Johannes Sas/ der Königlichen Universität Drucker,"Wesel, Jakob <<von>> ; http://d-nb.info/gnd/1037520122","Sass, Johann ; http://d-nb.info/gnd/1037513797",1702 ; 1702,1702,"46 ungezählte Seiten, 516 Seiten, 3 ungezählte Seiten, XV teilweise gefaltete Blätter Bildtafeln","16 Illustrationen, 1 Schriftbeispiel",16,,15,15,15,0,0,8°,"Die Illustrationen sind 1 Kupferstich-Illustration als Frontispiz, 3 Kupferstich-Pläne, 1 Kupferstich-Porträt, 1 gestochenes Schriftbeispiel, 10 Kupferstich-Illustrationen, 1 Kupferstich-Vignette im Text (Widmungsvorrede). - Titelblatt in Rot- und Schwarzdruck ; Holzschnitt-Vignetten und Zierleisten im Text","Bibliografischer Nachweis: Griep, Reiseliteratur und Geographica, 0166 ; HEIDI-Digital: urn:nbn:de:bsz:16-diglit-446695","Blatt *2a-*6a: Widmungsvorrede des Verfassers an Friedrich I., von Preussen, Datum Duisburg 01.01.1702. - Zwei Widmungsgedichte des Verfassers an Friedrich I. von Preussen und dessen Sohn Friedrich Wilhelm von Preussen in lateinischer und deutscher Sprache. - Sonnett in deutscher Sprache von Clemens Berg. - Gedicht in deutscher Sprache von Dieterich Gustav von Heydeck","Signaturformel: *8, **8, ***8, A-Z8, Aa-Jj8, Kk4",ger,,,VD18 11444495,"Dobbin, Albrecht ; http://d-nb.info/gnd/1051140919","Hennin, Heinrich Christian <<von>> ; http://d-nb.info/gnd/100163009",,"Heydeck, Dietrich Gustav .- Berg, Clemens ; http://d-nb.info/gnd/129169587",,,"Brand, Johann Arnold <<von>> ; http://d-nb.info/gnd/104069953",Friedrich ; http://d-nb.info/gnd/118535730 .- Friedrich Wilhelm ; http://d-nb.info/gnd/118535978,Reisebericht,,"Dobbin, Albrecht ; Sehr anmerckliche und seltsame Generale Beschreibung von Siberien",Reise ; Geschichte 1673 ; Russland ; Moskau ; Sibirien ; Topografie,TravelogueD18 Europa,Zusammenstellung: Hauptwerk mit Ergänzung,*48.J.34 PRUNK,ZALT,VD18 11444495
AC02342892,990001577830603338,http://data.onb.ac.at/ABO/%2BZ2441990X,Z2441990X,"Dampier, William ; http://d-nb.info/gnd/118670956",<<A>> new voyage round the world ; 1697,,Neue Reise um die Welt $ Heraus gegeben von Wilhelm Dampier/ Capitain zur See. Aus der Englischen in die Frantzösische und nunmehr in die Hochteutsche Sprache übersetzet. Auch mit Land=Taffeln/ Kupfferstichen und einem Register versehen,"Anderer Theil/ ; Jn sich haltende Einen dreyfachen Anhang/ Als I. Eine Reise nach Achin auf Sumatra, nach Tonquin, Malacca und andern Ost=Jndischen Plätzen. II. Eine Beschreibung der Bucht von Compeche in West=Jndien und der benachbarten Länder. III. Einen außführlichen Bericht von Winden/ Stürmen/ Ebbe und Fluth/ wie auch von Ströhmen",,Lejpzjg,Leipzig ; http://d-nb.info/gnd/4035206-7 .- Jena ; http://d-nb.info/gnd/4028557-1,Jena ; http://d-nb.info/gnd/4028557-1,Verlegts Michael Rohrlachs seel. Wittib und Erben ; gedruckt bey Paul Ehrichen,Michael Rohrlach Erben ; http://d-nb.info/gnd/6146453-3,"Ehrich, Paul ; http://d-nb.info/gnd/1037503988",1703,1703,"14 ungezählte Seiten, 788 Seiten, 54 ungezählte Seiten, 3 ungezählte Blätter Bildtafeln, 7 gefaltete Blätter","6 Illustrationen, 4 Karten",6,4,3,7,7,4,MLU Wittenberg Digtalisat mit Foldouts ,8°,"Die Illustrationen sind 1 Kupferstich-Illustration als Frontispiz, 4 Kupferstich-Karten,  6 Kupferstichillustrationen. - Titelblatt in Rot- und Schwarzdruck ; Holzschnitt-Vignetten, Zierleisten und Initialen im Text","Bibliografischer Nachweis: VD18 90306090 ; Bibliografie Reiseliteratur Eutin ; Stuck I, 380",Blatt )(2a-)(7b: Vorrede,"Signaturformel: )(8, A-Z8, Aa-Zz8, Aaa-Ggg8, Hhh6",ger,eng,Aus dem Französischen übersetzt. Originalsprache des Werkes ist Englisch,VD18 90306090,,,,,,,,,Reisebericht,,,Reise ; Ostindien ; Geschichte 1688-1690 ; Reise ; Lateinamerika ; Mexiko ; Campeche ; Geschichte circa 1675-1678,TravelogueD18 Asien Nordamerika,,49.Y.40 PRUNK .- 361899-A.2 MAG,ZALT ; ZKAR,VD18 90306090
AC10240989,990034055960603338,http://data.onb.ac.at/ABO/%2BZ253385408,Z253385408,,"Außführliche Relation Alles dessen, was sich sowohl bey der Von Ihrer Römisch-Käyserlichen Und Römisch-Königlichen Majest. An des Ertz-Hertzogen Carls Durchleucht Beschehenen Cession und Declaration wegern der Succession zur Spanischen Monarchie ... zugetragen",,Außführliche Relation Alles dessen/ was sich sowohl bey der Von Ihrer Römisch=Käyserlichen Und Römisch=Königlichen Majest. An des Ertz=Hertzogen Carls Durchleucht Beschehenen Cession und Declaration wegern der Succession zur Spanischen Monarchie/ Als auch Was inzwischen vor= und bey Jhro Königlichen Majest. Abreiß in Spanien/ an dem hiesigen Käyserlichen Hof und sonsten sich zugetragen: Mit Beyfügung deren unterschiedlich= gethanen Anreden/ und Glückwünschungen/ wie auch sinnreichen/ die Jahr=Zahl zeichenden Auffschrifften/ ingleichen curiosen Abschieds= und Reiß=Gedichten; nicht weniger der Ordnung deß Kön. Post=Marsch/ und vollständiger Verzeichnung der Königl. Hofstatt/ so zur Spanischen Abreiß auff= und mitgenommen worden,,,Wienn,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Verlegts Johann Baptist Schönwetter/ Universitätischer Buchhändler im rothen Ygel,"Schönwetter, Johann Baptist ; http://d-nb.info/gnd/1013724860","Schönwetter, Johann Baptist ; http://d-nb.info/gnd/1013724860",1703,1703,"24, 18 ungezählte Blätter",,,,0,0,0,0,0,4°,Holzschnitt-Initialen und Zierleisten,Bibliografischer Nachweis:,"Signaturformel: A-E4, A-D4, E2",Vorlageform der Veröffentlichungsangabe: Wienn Verlegts Johann Baptist Schönwetter/ Universitätischer Buchhändlerim rothen Ygel/ 1703. ; Beigef. Werk auch einzeln erschienen,ger,,,,,,,,,,,,,"Diarium, Oder Beschreibung dessen, was währender Ihrer Königl: Majestät in Spanien Caroli III. Reise von Wienn biß in den Haag vorgegangen",,Erbfolge ; Spanien ; Karl ; Reise,TravelogueD18 Europa,,*35.E.374 PRUNK .- *35.E.374 UNASSIGNED,ZALT ; ZALT,
AC01236712,990002615720603338,http://data.onb.ac.at/ABO/%2BZ205606702,Z205606702,,"Relation dessen, was sich bey der Abreiß ihrer Kön. Majest. von Spanien auß Holland deren Anländung in Engelland und dortigen Empfang zugetragen",,"Relation Dessen, was sich bey der Abreiß Ihrer Kön. Majest. von Spanien auß Holland $ deren Anländung in Engelland und dortigen Empfang zugetragen",,,Wienn,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Zu finden bey Johann Baptist Schönwetter,"Schönwetter, Johann Baptist ; http://d-nb.info/gnd/1013724860","Schönwetter, Johann Baptist ; http://d-nb.info/gnd/1013724860",1704,1704,5 ungezählte Blätter,,,,0,0,0,0,0,4°,Kein illustrierender Inhalt,Bibliografischer Nachweis:,Vorlageform der Veröffentlichungsangabe: Wienn/ Zu finden bey Johann Baptist Schönwetter/Universitätischen Buchhandlern im rothen Ygel/1704.,"Signaturformel: Aa4, [1]",ger,,In Fraktur,,,,,,,,,,,,,Karl ; Niederlande ; England ; Reise ; Geschichte 1704 ; Quelle,TravelogueD18 Europa,,303026-B.Adl.9 MAG,ZALT,
AC01236724,990003415700603338,http://data.onb.ac.at/ABO/%2BZ205606805,Z205606805,,Fernere Relation Von Ihrer Königl. Majest. in Spanien Carl des Dritten Reiß in Portugall,,Fernere Relation Von Ihrer Königl. Majest. in Spanien Carl des Dritten Reiß in Portugall $ vom 15. Jan. biß 1. Febr.,,,Wienn,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Zu finden bey Johann Baptist Schönwetter,"Schönwetter, Johann Baptist ; http://d-nb.info/gnd/1013724860","Schönwetter, Johann Baptist ; http://d-nb.info/gnd/1013724860",1704,1704,4 ungezählte Blätter,,,,0,0,0,0,0,8 ̊,Holzschnitt-Vignette am Ende,Bibliografischer Nachweis:,Signaturformel: Bb4,Vorlageform der Veröffentlichungsangabe am Ende: Wienn/ Zu finden bey Johann Baptist Schönwetter/ Universitätischen Buchhandlern im rothen Ygel/ 1704.,ger,,,,,,,,,,,,,,,Karl ; Portugal ; Reise ; Geschichte 1704 ; Quelle,TravelogueD18 Europa,,303026-B.Adl.10 MAG,ZALT,
