Spalte1,Systemnummer,MMS-ID,Volltext,Barcode,VerfasserIn ; GND-ID,VerfasserIn Geschlecht,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere VerfasserInnen ; GND-ID,Weitere VerfasserInnen Geschlecht,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC10239869,AC10239869,"9,90034044460603E+017",http://data.onb.ac.at/ABO/%2BZ255406701,Z255406701,Abū-Ṭālib Ḫān ; http://d-nb.info/gnd/131546783,m,Masīr-i Ṭālibī,,"Reise des Mirza Abu Taleb Khan durch Asien, Afrika und Europa in den Jahren 1799, 1800, 1801, 1802 und 1803 $ Nebst einer Widerlegung der Begriffe, welche man in Europa von der Freyheit der Asiatischen Weiber hat. Aus dem Französischen",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Jn Commission bei B. Ph. Bauer,"Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934","Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934",1813,1813,"X, 429 Seiten, 2 ungezählte Seiten",1 Illustration,1,,8°,Die Illustration ist 1 Kupferstich-Illustration als Frontispiz (gestochen von Friedrich Weber). - Zierleisten ; Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0005",Seite [III]-VI: Vorrede des Englischen Übersetzers. - Seite [VII]-VIII: Vorrede des Französischen Übersetzer. - Seite [IX]-X: Vorrede des Deutschen Übersetzers,,ger,ara,Aus dem Französischen übersetzt ; Originalsprache des Werks ist Persisch,,,,,,,,"Weber, Friedrich ; http://d-nb.info/gnd/131446878 .- Perger, Sigmund Ferdinand <<von>> ; http://d-nb.info/gnd/115866558",,,Reisebericht,,,Reise ; Europa ; England ; Frankreich ; Italien ; Osmanisches Reich ; Geschichte 1799-1803,TravelogueD19 Asien Afrika Europa ; TravelogueD19 Orient,,242214-B MAG .- 284820-B MAG,ZKAR ; ZFID,
AC08421083,AC08421083,"9,95854176910333E+015",http://data.onb.ac.at/ABO/%2BZ255404601,Z255404601,"Barrow, John ; http://d-nb.info/gnd/117583065",m,Travels in China ; http://viaf.org/viaf/312514141,Bibliothek der neuesten und wichtigsten Reisebeschreibungen zur Erweiterung der Erdkunde ; Vierzehnter Band,"<<Johann Barrow's, Esq. vormaligen Privatsekretärs des Grafen von Macartney, jetzigen Sekretärs der Admiralität>> Reise durch China von Peking nach Canton im Gefolge der Großbrittannischen Gesandtschaft in den Jahren 1793 und 1794 $ Aus dem Englischen übersetzt und mit einigen Anmerkungen begleitet von Johann Christian Hüttner, Herausgeber der Englischen Miscellen, und Begleiter des Gesandtschafts=Sekretärs Sir Staunton auf der gedachten Gesandtschaftsreise nach China",Erster Theil ; Mit Kupfern,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des F. S. pr. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1804,1804,"8 ungezählte Seiten, 428, 90 Seiten, V Blätter (zum Teil gefaltet), 2 ungezählte Blätter Bildtafeln, 1 ungezähltes mehrfach gefaltetes Blatt Karte","10 Illustrationen, 1 Karte, Notenbeispiele",10,1,8°,"Die Illustrationen umfassen 2 gestochene Porträts (gestochen von C. Westermeyr), 5 Holzschnitt-Illustrationen und Pläne,  3 Kupferstichillustrationen und 1 Karte, 7 Seiten mit Notenbeispielen","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 101","Ungezählte Seite 5-6: Vorerinnerungen von T. F. Ehrmann, Datum Weimar 09.1804",,ger,eng,Aus dem Englischen übersetzt,,,,"Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337","Hüttner, Johann Christian ; http://d-nb.info/gnd/117053759",,,"Westermayr, Konrad ; http://d-nb.info/gnd/119430797",,,Reisebericht,,,Gesandtschaft ; Großbritannien ; China ; Geschichte 1793-1794,TravelogueD19 Asien ; TravelogueD19 Orient,,187672-B.14 MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC15247613,AC15247613,"9,95853067950333E+015",http://data.onb.ac.at/ABO/%2BZ178041608;,Z178041608;,"Barrow, John ; http://d-nb.info/gnd/117583065",m,Travels in China ; 1804 ; http://viaf.org/viaf/312514141,,"<<Johann Barrow's, Esq. vormaligen Privatsekretärs des Grafen von Macartney, jetzigen Sekretärs der Admiralität>> Reise durch China von Peking nach Canton im Gefolge der Großbrittannischen Gesandtschaft in den Jahren 1793 und 1794 $ Aus dem Englischen übersetzt und mit einigen Anmerkungen begleitet von Johann Christian Hüttner, Herausgeber der Englischen Miscellen, und Begleiter des Gesandtschafts=Sekretärs Sir Staunton auf der gedachten Gesandtschaftsreise nach China $p Mit Kupfern",Erster Theil,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des F. S. pr. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1804,1804,"4 ungezählte Seiten, 428 Seiten,  2 ungezählte Seiten, V Blätter (zum Teil gefaltet), 2 ungezählte Blätter Bidtafeln, 1 ungezähltes mehrfach gefaltetes Blatt Karte","10 Illustrationen, 1 Karte, Notenbeispiele",10,1,8°,"Die Illustrationen umfassen 2 gestochene Porträts (gestochen von C. Westermeyr), 5 Holzschnitt-Illustrationen und Pläne,  3 Kupferstichillustrationen und 1 Karte, 7 Seiten mit Notenbeispielen","Ausgabe ohne beigefügter Manifestation ""Beiträge zur Länder- und Staatenkunde der Tartarei""",,,ger,eng,Aus dem Englischen übersetzt ; Aus dem Englischen übersetzt,,,,,"Hüttner, Johann Christian ; http://d-nb.info/gnd/117053759",,,,,,Reisebericht,,,China ; Gesandtschaft ; Großbritannien ; Geschichte 1793-1794,TravelogueD19 Asien ; TravelogueD19 Orient,,72.N.183.(Vol.1) PRUNK .- 264272-B.1 MAG,ZALT ; ZFID,
,,,http://data.onb.ac.at/ABO/%2BZ98083605,Z98083605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC13041620,AC13041620,"9,90048891580603E+017",http://data.onb.ac.at/ABO/%2BZ224525901,Z224525901,"Bartholdy, Jakob L. S. ; http://d-nb.info/gnd/11606899X",m,,,Bruchstücke zur nähern Kenntniß des heutigen Griechenlands gesammelt auf einer Reise von J. L. S. Bartholdy. im Jahre 1803 - 1804,Erster Theil,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,in der Realschulbuchhandlung,Realschulbuchhandlung ; http://d-nb.info/gnd/6146071-0,,1805,1805,"2 ungezählte Seiten, IX, 518 Seiten, 6 ungezählte Seiten, Blätter A-I, das heißt 9 Blätter Bildtafeln (zum Teil gefaltet), 4 ungezählte gefaltete Blätter","10 Illustrationen, 4 Notenbeispiele",10,,8°,"Die Illustrationen umfassen 1 Aquatinta-Illustration als Titelkupfer, 9 kolorierte Aquatinta-Illustrationen und 4 Notenbeispiele. - Kupferstich-Vignette auf dem Titelblatt","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 535",Seite [III]-IX: Vorrede,,ger,,,,,,,,,,,,,Reisebericht,,,Landeskunde ; Griechenland ; Reise ; Griechenland ; Geschichte 1803-1804,TravelogueD19 Europa ; TravelogueD19 Orient,,14.L.91.(Vol.1) PRUNK,ZALT,
AC09685610,AC09685610,"9,90028380010603E+017",http://data.onb.ac.at/ABO/%2BZ174826708,Z174826708,"Batthyány, Vince ; http://d-nb.info/gnd/11608233X",m,,,Reise Nach Constantinopel $ In Briefen $ Vom Herrn Grafen Vincenz Batthyány,,Zweite verbesserte und vermehrte Ausgabe,Pesth,Budapest ; http://d-nb.info/gnd/4008684-7,,bei K. A. Hartleben,"Hartleben, Konrad Adolf ; http://d-nb.info/gnd/10436047X",,1810,1810,"4 ungezählte Seiten, 270 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,Die Illustration ist 1 Kupferstich-Illustration als Frontispiz (gestochen und signiert von Schindelmeyer). - Zierleisten im Text,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 396. - Zuerst erschienen in: ""Zeitschrift von und für Ungern"", Bd. 2-4 (1802)",,,ger,,,,,,,,,,"Schindelmeyer, Karl Robert ; http://d-nb.info/gnd/129098647",,,Briefsammlung ; Reisebericht,,,Istanbul ; Reise ; Osmanisches Reich ; Geschichte um 1802,TravelogueD19 Asien Europa ; TravelogueD19 Orient,,43547-A MAG,ZALT,
AC09689532,AC09689532,"9,90028419980603E+017",http://data.onb.ac.at/ABO/%2BZ205039509,Z205039509,"Beauvoisins, Joseph Eugène ; http://d-nb.info/gnd/1157704662",m,"Notice sur la cour du grand-seigneur, son sérail, son harem, la familie du sang imérial, sa maison militaire et ses ministres ; 1807",,"Nachrichten über den Hof des türkischen Sultans, sein Serail, seinen Harem, die kaiserliche Familie, sein Militär und seine Minister $ Nebst einem historischen Versuch über die mahomedanische Religion, ihren Kultus und ihre Priester. Nach der vierten Ausgabe des französischen Originaltextes des Herrn Joseph Eugen Beauvoisins frei übersezt, mit authentischen Noten begleitet und herausgegeben von Keßler, Großherzogl. Badischen Major und Ritter des Militär=Verdientsordens",,,Karlsruhe,Karlsruhe ; http://d-nb.info/gnd/4029713-5,Karlsruhe ; http://d-nb.info/gnd/4029713-5,im Verlag bei Chr. Friedrich Müller,"Müller, Christian Friedrich ; http://d-nb.info/gnd/11771660X","Müller, Christian Friedrich ; http://d-nb.info/gnd/11771660X",1811,1811,"1 ungezählte Seite, VIII, 167 Seiten, 1 ungezählte Seite",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0038","Seite [III]-VI: Vorwort des Herausgebers Johann Friedrich Keßler (Pseudonym für Johann Ernst Daniel Bornschein), Datum Rastadt 02.1810. - Seite VII-VIII: Vorrede an die Leser. - Seite 139-167: Nachtrag vom Herausgeber, nebst Mittheilungen von Herrn Jakob Ensle aus Rastadt",,ger,fre,Aus dem Französischen übersetzt,,,,"Bornschein, Johann Ernst Daniel ; http://d-nb.info/gnd/104295120",,"Ensle, Jakob",,,,,,,,Osmanisches Reich ; Hof ; Reise ; Konstantinopel ; Geschichte 1799,TravelogueD19 Asien ; TravelogueD19 Orient,,215543-B MAG,ZALT,
AC15248089,AC15248089,"9,95853077950333E+015",,,"Bratring, Friedrich Wilhelm August ; http://d-nb.info/gnd/116409398",m,,,"Allgemeine Reise=Encyklopädie  in Auszügen aus den größeren bisher erschienenen Reisewerken zur unterhaltenden Belehrung in der Länder= Völker= und Naturkunde $ Ein Buch für gebildete Leser, für Lehrende und Lernende in allen Ständen. Mit Kupfern und Karten",Dritter Band,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,bei C. Salfeld,"Salfeld, C. ; http://d-nb.info/gnd/1050327780 .- C. Salfeld ; http://d-nb.info/gnd/1128827271",,1810,1810,"4 ungezählte Seiten, 364, 16 Seiten, 1 ungezähltes Blatt Bildtafel, 1 ungezähltes gefaltetes Blatt Karte","1 Illustration, 1 Karte",1,1,8°,"Die Illustrationen sind 1 Illustration in Radierung als Frontispiz (radiert von P. Leopold), 1 Kupferstich-Karte (""Die Stadt und Festung Cadiz"", gezeichnet und gestochen von C. Mare). - Einfache Zierleisten ; Fußnoten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,Enthält am Ende 16 Seiten Verlagsanzeige,,ger,,,,"Reimer, Heinrich .- Bourgoing, Jean François <<de>> ; http://d-nb.info/gnd/100052223 .- Forster, Georg ; http://d-nb.info/gnd/118534416 .- Saryčev, Gavriil A. ; http://d-nb.info/gnd/172353629 .- Torlitz, Johann Heinrich Anton ; http://d-nb.info/gnd/1157542603",m ; m,"Salfeld, C. ; http://d-nb.info/gnd/1050327780",,,,,,,Reisebericht,,"Forster, Georg ; <<A>> Journey form Bengal to England, through the northern part of India, Kashmire, Afghanistan and Persia .- Reimer, Heinrich ; Reisen der russisch-kaiserlichen außerordentlichen Gesandtschaft an die Othomanische Pforte im Jahre 1793 .- Bourgoing, Jean François <<de>> ; Tableau de l'Espagne moderne .- Saryčev, Gavriil A. ; Putešestvie po Severo-vostočnoj časti Sibiri, Ledovitomumorju i Vostočnomu okeanu ; http://viaf.org/viaf/310395559 .- Torlitz, Johann Heinrich Anton ; Reise durch Deutschland, die Schweiz und das nördliche Italien","Reise ; Deutschland ; Schweiz ; Oberitalien ; Geschichte 1803 ; Torlitz, Johann Heinrich Anton ; Forschungsreise ; Saryčev, Gavriil A ; Sibirien ; Nordpolarmeer ; Geschichte 1785-1792 ; Reise ; Forster, Georg ; Indien ; Afghanistan ; Iran ; Russland ; Geschichte 1782-1784 ; Gesandtschaft ; Russland ; Osmanisches Reich ; Konstantinopel ; Geschichte 1793 ; Reise ; Bourgoing, Jean François <<de>> ; Spanien ; Cádiz ; Reise ; Siebenbürgen ; Geschichte 1791",TravelogueD19 Europa Asien ; TravelogueD19 Orient,Zusammenstellung: mit übergeordnetem Titel von mehreren Akteuren (Übersetzungen),251908-B.3 MAG,ZFID,
AC09737072,AC09737072,"9,90028905520603E+017",http://data.onb.ac.at/ABO/%2BZ156047905,Z156047905,"Brenner, Ignaz <<von>> ; http://d-nb.info/gnd/116486147",m,,,Ausflug Von Konstantinopel Nach Brussa in Kleinasien Im Jahre 1793 $ Von Ignatz Von Brenner. Mit einem Kupfer,,,Wien und Triest,Wien ; http://d-nb.info/gnd/4066009-6 .- Triest ; http://d-nb.info/gnd/4078411-3,Wien ; http://d-nb.info/gnd/4066009-6,bey Geistinger ; Gedruckt bey Anton Strauss,Geistinger'sche Buchhandlung ; http://d-nb.info/gnd/1148147527,"Strauß, Anton ; http://d-nb.info/gnd/139477810",1808,1808,"102 Seiten, 2 ungezählte Seiten, 1 ungezähltes gefaltetes Blatt Bildtafel",1 Illustration,1,,12°,Die Illustration ist eine Kupferstich-Illustration als Frontispiz,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0086",Seite [3]-[4]: Vorrede (Vorbericht) des Verfassers,,ger,,,,,,,,,,,,,Reisebericht,,,Bursa ; Reise ; Geschichte 1793 ; Osmanisches Reich ; Anatolien,TravelogueD19 Asien ; TravelogueD19 Orient,,*48.L.77 PRUNK,ZALT,
AC09741261,AC09741261,"9,90028948710603E+017",http://data.onb.ac.at/ABO/%2BZ164891907,Z164891907,"Browne, William George ; http://d-nb.info/gnd/117636126",m,"Travels in Africa, Egypt, and Syria, from the year 1792 to 1798 ; 1799 ; http://viaf.org/viaf/6047152502855410800005",,"<<W. G. Browne's>> Reisen in Afrika, Aegypten und Syrien in den Jahren 1792 bis 1798 $ Aus dem Englischen. Mit Anmerkungen des Uebersetzers und mit Kupfern und Charten",,,Leipzig und Gera,Leipzig ; http://d-nb.info/gnd/4035206-7 .- Gera ; http://d-nb.info/gnd/4020295-1,,bei Wilhelm Heinsius,"Heinsius, Wilhelm ; http://d-nb.info/gnd/116673451",,1800,1800,"XXXVIII Seiten, 2 ungezählte Seiten, 701 Seiten, 2 ungezählte Blätter Bildtafeln, 2 ungezählte gefaltete Blätter Karten","2 Illustrationen, 2 Karten",2,2,8°,"Die Illustrationen umfassen 1 Kupferstich-Illustration als Frontispiz, 1 Plan, 2 Kupferstich-Karten. - Tabellen ; Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 119 ; Kainbacher, Erforschung Afrikas. - Auch als Teil der Reihe ""Bibliothek der neuesten und wichtigsten Reisebeschreibungen zur Erweiterung der Erdkunde"" erschienen","Seite [III]-XXI: Vorrede des Verfassers. - Seite [XXIII]-XXX: Vorrede des Übersetzers (Anonym), Datum Leipzig 16.04.1800",,ger,eng,Aus dem Englischen übersetzt,,,,,,,,,,,Reisebericht,,,Afrika ; Reise ; Reise ; Syrien ; Naher Osten ; Nordafrika ; Geschichte 1792-1798 ; Osmanisches Reich,TravelogueD19 Afrika Asien ; TravelogueD19 Orient,,24.Z.19 PRUNK,ZALT,
